Name,Playtime,Store URL,AppID,Genre,Base64 Image,Image URL,Game Complete
Metro Exodus Enhanced Edition,141,http://store.steampowered.com/app/1449560,1449560,,,,
TEKKEN 7,213,http://store.steampowered.com/app/389730,389730,,,,
Spiritfarer®: Farewell Edition,0,http://store.steampowered.com/app/972660,972660,,,,
Streets of Rage 4,336,http://store.steampowered.com/app/985890,985890,,,,
Tales of Vesperia: Definitive Edition,0,http://store.steampowered.com/app/738540,738540,,,,
Amnesia: Rebirth,58,http://store.steampowered.com/app/999220,999220,,,,
Castlevania Anniversary Collection,101,http://store.steampowered.com/app/1018010,1018010,,,,
Baldur's Gate 3,10612,http://store.steampowered.com/app/1086940,1086940,,,,
OCTOPATH TRAVELER,7,http://store.steampowered.com/app/921570,921570,,,,
Destiny 2,2279,http://store.steampowered.com/app/1085660,1085660,,,,
DOOM Eternal,151,http://store.steampowered.com/app/782330,782330,,,,
Halo: The Master Chief Collection,90960,http://store.steampowered.com/app/976730,976730,,,,
FINAL FANTASY VIII - REMASTERED,7,http://store.steampowered.com/app/1026680,1026680,,,,
Horizon Zero Dawn Complete Edition,0,http://store.steampowered.com/app/1151640,1151640,,,,
Angry Video Game Nerd I & II Deluxe,0,http://store.steampowered.com/app/1162960,1162960,,,,
STAR WARS Jedi: Fallen Order ,78,http://store.steampowered.com/app/1172380,1172380,,,,
Car Mechanic Simulator 2021,0,http://store.steampowered.com/app/1190000,1190000,,,,
Resident Evil Village,1923,http://store.steampowered.com/app/1196590,1196590,,,,
Dragon Age Inquisition,34,http://store.steampowered.com/app/1222690,1222690,,,,
Resident Evil Re:Verse,0,http://store.steampowered.com/app/1236300,1236300,,,,
Dead Space 3,80,http://store.steampowered.com/app/1238060,1238060,,,,
Street Fighter V,0,http://store.steampowered.com/app/310950,310950,,,,
Need for Speed Heat ,0,http://store.steampowered.com/app/1222680,1222680,,,,
Titanfall® 2,29,http://store.steampowered.com/app/1237970,1237970,,,,
Resident Evil 3,239,http://store.steampowered.com/app/952060,952060,,,,
RESIDENT EVIL RESISTANCE,1,http://store.steampowered.com/app/952070,952070,,,,
ELDEN RING,7243,http://store.steampowered.com/app/1245620,1245620,,,,
Lara Croft and the Temple of Osiris,0,http://store.steampowered.com/app/289690,289690,,,,
tModLoader,163,http://store.steampowered.com/app/1281930,1281930,,,,
DEATH STRANDING,113,http://store.steampowered.com/app/1190460,1190460,,,,
Ghostbusters: The Video Game Remastered,52,http://store.steampowered.com/app/1449280,1449280,,,,
FINAL FANTASY VII REMAKE INTERGRADE,2279,http://store.steampowered.com/app/1462040,1462040,,,,
WRC 10 FIA World Rally Championship,674,http://store.steampowered.com/app/1462810,1462810,,,,
Mortal Kombat 11,0,http://store.steampowered.com/app/976310,976310,,,,
Castlevania Advance Collection,87,http://store.steampowered.com/app/1552550,1552550,,,,
Tiny Tina's Wonderlands,279,http://store.steampowered.com/app/1286680,1286680,,,,
NEO: The World Ends with You,65,http://store.steampowered.com/app/1647550,1647550,,,,
GameMaker,4,http://store.steampowered.com/app/1670460,1670460,,,,
The Stanley Parable: Ultra Deluxe,273,http://store.steampowered.com/app/1703340,1703340,,,,
Halo Infinite,174547,http://store.steampowered.com/app/1240440,1240440,,,,
Devil May Cry 5,0,http://store.steampowered.com/app/601150,601150,,,,
MONSTER HUNTER RISE,7295,http://store.steampowered.com/app/1446780,1446780,,,,
Middle-earth: Shadow of Mordor,257,http://store.steampowered.com/app/241930,241930,,,,
Middle-earth: Shadow of War,0,http://store.steampowered.com/app/356190,356190,,,,
DEATH STRANDING DIRECTOR'S CUT,0,http://store.steampowered.com/app/1850570,1850570,,,,
Dear Esther: Landmark Edition,0,http://store.steampowered.com/app/520720,520720,,,,
Stray Gods: The Roleplaying Musical,131,http://store.steampowered.com/app/1920780,1920780,,,,
Amnesia: The Bunker,2,http://store.steampowered.com/app/1944430,1944430,,,,
"Warhammer 40,000: Boltgun",160,http://store.steampowered.com/app/2005010,2005010,,,,
Call of Duty®,17929,http://store.steampowered.com/app/1938090,1938090,,,,
CRISIS CORE FINAL FANTASY VII REUNION,0,http://store.steampowered.com/app/1608070,1608070,,,,
Resident Evil 4,2629,http://store.steampowered.com/app/2050650,2050650,,,,
The Callisto Protocol,52,http://store.steampowered.com/app/1544020,1544020,,,,
Dead Space,0,http://store.steampowered.com/app/1693980,1693980,,,,
System Shock,286,http://store.steampowered.com/app/482400,482400,,,,
Hogwarts Legacy,120,http://store.steampowered.com/app/990080,990080,,,,
ARMORED CORE VI FIRES OF RUBICON,48,http://store.steampowered.com/app/1888160,1888160,,,,
Starfield,3643,http://store.steampowered.com/app/1716740,1716740,,,,
